"","ID","ID-2","Zscore"
"123343-16-8","123343-16-8","123343-16-8",0.37138020798902
"717-74-8","717-74-8","717-74-8",0.288476669395095
"5437-45-6","5437-45-6","5437-45-6",0.983082862943468
"3194-55-6","3194-55-6","3194-55-6",3.54882600348373
"130-15-4","130-15-4","130-15-4",1.13651429096283
"3737-41-5","3737-41-5","3737-41-5",0.598095891204297
"1191-50-0","1191-50-0","1191-50-0",0.205734239201227
"111991-09-4","111991-09-4","111991-09-4",1.12074253146916
"26172-55-4","26172-55-4","26172-55-4",0.272222030150747
"110-91-8","110-91-8","110-91-8",0.148637251568361
"6385-62-2","6385-62-2","6385-62-2",0.863262991859504
"124-09-4","124-09-4","124-09-4",0.484838997589296
"30560-19-1","30560-19-1","30560-19-1",0.29977739752276
"1135-66-6","1135-66-6","1135-66-6",0.492151045703464
"124-03-8","124-03-8","124-03-8",0.747830012925612
"4151-50-2","4151-50-2","4151-50-2",3.93057277128938
"27955-94-8","27955-94-8","27955-94-8",0.0129546212732445
"86-98-6","86-98-6","86-98-6",0.187191419602558
"83834-59-7","83834-59-7","83834-59-7",1.19135341612093
"52663-68-0","52663-68-0","52663-68-0",1.10657139452853
"616-47-7","616-47-7","616-47-7",0.211891447235421
"2043-57-4","2043-57-4","2043-57-4",2.54271659904548
"123-56-8","123-56-8","123-56-8",0.607918249420934
"111-34-2","111-34-2","111-34-2",0.616361154455346
"104-87-0","104-87-0","104-87-0",0.460474518590839
"51-24-1","51-24-1","51-24-1",1.83408323339852
"107-92-6","107-92-6","107-92-6",0.494101642032016
"121-14-2","121-14-2","121-14-2",0.104812461616912
"14351-66-7","14351-66-7","14351-66-7",0.103639673443613
"20018-09-1","20018-09-1","20018-09-1",1.14773155448993
"12427-38-2","12427-38-2","12427-38-2",0.814009240830082
"69377-81-7","69377-81-7","69377-81-7",0.116238077667232
"107-51-7","107-51-7","107-51-7",3.24886128724194
"NOCAS_47333","NOCAS_47333","NOCAS_47333",0.0851379262692781
"84-15-1","84-15-1","84-15-1",0.664499779496529
"103-26-4","103-26-4","103-26-4",1.24087555849569
"2409-55-4","2409-55-4","2409-55-4",1.09314543048326
"872-50-4","872-50-4","872-50-4",0.56245560752297
"140-49-8","140-49-8","140-49-8",1.19301709064198
"126-73-8","126-73-8","126-73-8",0.0223731185584173
"7779-27-3","7779-27-3","7779-27-3",0.346989129598333
"97-86-9","97-86-9","97-86-9",0.988907174783652
"175178-82-2","175178-82-2","175178-82-2",0.408370548258118
"NOCAS_47379","NOCAS_47379","NOCAS_47379",1.14288699808377
"5949-05-3","5949-05-3","5949-05-3",0.683700292265735
"104-67-6","104-67-6","104-67-6",1.10268083970268
"58430-94-7","58430-94-7","58430-94-7",0.954356197831106
"463-40-1","463-40-1","463-40-1",0.412733458058529
"5902-51-2","5902-51-2","5902-51-2",0.630150431691327
"111-14-8","111-14-8","111-14-8",0.938787687612368
"102-76-1","102-76-1","102-76-1",0.615435715755501
"80-48-8","80-48-8","80-48-8",0.833135603381177
"108-03-2","108-03-2","108-03-2",0.150867828176248
"23726-91-2","23726-91-2","23726-91-2",0.952860075228519
"NOCAS_47346","NOCAS_47346","NOCAS_47346",0.623806695616196
"58-14-0","58-14-0","58-14-0",0.056596702825874
"4422-95-1","4422-95-1","4422-95-1",0.342853578123807
"104-82-5","104-82-5","104-82-5",0.205887187534394
"100-01-6","100-01-6","100-01-6",0.379990566597408
"NOCAS_48509","NOCAS_48509","NOCAS_48509",0.236232570734856
"101-54-2","101-54-2","101-54-2",0.533657841182537
"90325-47-6","90325-47-6","90325-47-6",0.656230704885355
"184653-84-7","184653-84-7","184653-84-7",0.647712595151357
"108-91-8","108-91-8","108-91-8",0.0188731161204069
"33228-45-4","33228-45-4","33228-45-4",0.999199088733132
"105-90-8","105-90-8","105-90-8",1.17016384521839
"57-13-6","57-13-6","57-13-6",0.878222680541577
"15619-48-4","15619-48-4","15619-48-4",0.0298148415769009
"577-11-7","577-11-7","577-11-7",0.422176675340132
"4107-98-6","4107-98-6","4107-98-6",0.263844546107636
"1675-54-3","1675-54-3","1675-54-3",0.679797225524143
"2058-94-8","2058-94-8","2058-94-8",5.80920194716524
"60168-88-9","60168-88-9","60168-88-9",0.54317377818109
"131-52-2","131-52-2","131-52-2",0.499110937807701
"553-70-8","553-70-8","553-70-8",0.649710087281537
"96-70-8","96-70-8","96-70-8",1.11409800607506
"73-31-4","73-31-4","73-31-4",0.597828260913505
"26644-46-2","26644-46-2","26644-46-2",0.864397408428806
"75-12-7","75-12-7","75-12-7",0.982941495858158
"22915-73-7","22915-73-7","22915-73-7",0.777006583067162
"116-29-0","116-29-0","116-29-0",0.123045680715276
"53112-28-0","53112-28-0","53112-28-0",0.694527146318322
"110-42-9","110-42-9","110-42-9",0.965409638305848
"108-89-4","108-89-4","108-89-4",0.0863756508198321
"643-28-7","643-28-7","643-28-7",0.92867304737881
"728-40-5","728-40-5","728-40-5",0.447498632163966
"647-42-7","647-42-7","647-42-7",2.18648246115575
"2465-27-2","2465-27-2","2465-27-2",0.33285983941659
"111-76-2","111-76-2","111-76-2",0.667469286695226
"827-21-4","827-21-4","827-21-4",0.572311566172013
"85-01-8","85-01-8","85-01-8",0.488373120771795
"824-78-2","824-78-2","824-78-2",0.213725289738451
"821-55-6","821-55-6","821-55-6",0.74807153220252
"230954-09-3","230954-09-3","230954-09-3",0.0920579016532077
"79-07-2","79-07-2","79-07-2",0.375084780241613
"67-71-0","67-71-0","67-71-0",2.47020799016795
"60207-90-1","60207-90-1","60207-90-1",0.252898581113347
"134-31-6","134-31-6","134-31-6",0.712042912683252
"1118-92-9","1118-92-9","1118-92-9",1.09028610914061
"213464-77-8","213464-77-8","213464-77-8",1.09693344968407
"98-02-2","98-02-2","98-02-2",2.03935609791667
"79-19-6","79-19-6","79-19-6",0.364101802836456
"96-76-4","96-76-4","96-76-4",0.624232978561853
"18172-67-3","18172-67-3","18172-67-3",0.021411873873503
"26530-20-1","26530-20-1","26530-20-1",0.443637085251867
"NOCAS_48514","NOCAS_48514","NOCAS_48514",0.458618564147515
"NOCAS_48176","NOCAS_48176","NOCAS_48176",1.86502406859077
"527680-56-4","527680-56-4","527680-56-4",0.00854969766049447
"75-64-9","75-64-9","75-64-9",4.43690615164079
"109293-97-2","109293-97-2","109293-97-2",0.0457686011281415
"62-74-8","62-74-8","62-74-8",0.777527300891319
"110-65-6","110-65-6","110-65-6",0.0100030783805479
"526-73-8","526-73-8","526-73-8",0.152124449498263
"3173-72-6","3173-72-6","3173-72-6",2.23825232396402
"104-43-8","104-43-8","104-43-8",0.391861464727408
"1609-47-8","1609-47-8","1609-47-8",0.0192376269510842
"142-92-7","142-92-7","142-92-7",1.19810414146605
"836-30-6","836-30-6","836-30-6",0.668449153915278
"59227-89-3","59227-89-3","59227-89-3",0.207481014172122
"6915-15-7","6915-15-7","6915-15-7",0.198441206922707
"60-51-5","60-51-5","60-51-5",0.0966994098879052
"68392-35-8","68392-35-8","68392-35-8",0.145984987762296
"94-18-8","94-18-8","94-18-8",1.1062886237764
"51338-27-3","51338-27-3","51338-27-3",0.606320627137836
"6923-22-4","6923-22-4","6923-22-4",0.135501903077389
"110553-27-0","110553-27-0","110553-27-0",0.824764631695382
"131-55-5","131-55-5","131-55-5",0.222912943342919
"498-81-7","498-81-7","498-81-7",0.943412418863282
"NOCAS_48518","NOCAS_48518","NOCAS_48518",0.437172774862816
"40487-42-1","40487-42-1","40487-42-1",0.37028593344083
"188489-07-8","188489-07-8","188489-07-8",0.00397201387433649
"3653-48-3","3653-48-3","3653-48-3",0.12255231852251
"207736-05-8","207736-05-8","207736-05-8",0.271337085858522
"763-29-1","763-29-1","763-29-1",0.0771603913529148
"14765-30-1","14765-30-1","14765-30-1",0.904210699281126
"1879-09-0","1879-09-0","1879-09-0",1.00025448890639
"301-00-8","301-00-8","301-00-8",0.456474883586218
"139968-49-3","139968-49-3","139968-49-3",1.33955393119622
"678-39-7","678-39-7","678-39-7",3.62238958191379
"253450-09-8","253450-09-8","253450-09-8",0.106922020221054
"756-79-6","756-79-6","756-79-6",0.0451149785307841
"52-86-8","52-86-8","52-86-8",0.882985038331536
"66-71-7","66-71-7","66-71-7",0.0994134390381093
"81-07-2","81-07-2","81-07-2",0.320669559606055
"56-95-1","56-95-1","56-95-1",2.00029912596336
"609-23-4","609-23-4","609-23-4",2.5173167783024
"112-70-9","112-70-9","112-70-9",0.30467087282367
"99129-21-2","99129-21-2","99129-21-2",0.60304346475659
"72-55-9","72-55-9","72-55-9",0.0523903224738945
"2392-39-4","2392-39-4","2392-39-4",1.30891620853999
"5153-25-3","5153-25-3","5153-25-3",1.37042185048811
